CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,TRANSECT,SUBP,SMPLOCCD,MEASYEAR,CONDID,DUFFDEP,LITTDEP,FUELDEP,CREATED_DATE,MODIFIED_DATE,DLF_SAMPLE_METHOD,DUFF_METHOD,DUFF_NONSAMPLE_REASN_CD,LITTER_METHOD,LITTER_NONSAMPLE_REASN_CD,FUELBED_METHOD,FUELBED_NONSAMPLE_REASN_CD,DL_STATUS_CD
56706742010538,60271920010538,2004,54,31,2183,30,4,2,2004,1,0.3,1.1,1.1,2005-10-31 11:59:19,2014-05-14 15:56:42,2,1,,1,,1,,
56706714010538,60271920010538,2004,54,31,2183,150,1,2,2004,1,0.7,2.1,0.2,2005-10-31 11:59:19,2014-05-14 15:56:42,2,1,,1,,1,,
56706723010538,60271920010538,2004,54,31,2183,150,2,2,2004,2,,,,2005-10-31 11:59:19,2014-05-14 15:56:42,2,0,,0,,0,,
56706735010538,60271920010538,2004,54,31,2183,150,3,2,2004,1,0.0,0.5,0.4,2005-10-31 11:59:19,2014-05-14 15:56:42,2,1,,1,,1,,
56706745010538,60271920010538,2004,54,31,2183,150,4,2,2004,1,0.2,0.5,1.9,2005-10-31 11:59:19,2014-05-14 15:56:42,2,1,,1,,1,,
56706716010538,60271920010538,2004,54,31,2183,270,1,2,2004,1,1.1,2.2,0.2,2005-10-31 11:59:19,2014-05-14 15:56:42,2,1,,1,,1,,
56706726010538,60271920010538,2004,54,31,2183,270,2,2,2004,2,0.4,0.7,0.1,2005-10-31 11:59:19,2014-05-14 15:56:42,2,1,,1,,1,,
56706737010538,60271920010538,2004,54,31,2183,270,3,2,2004,1,0.9,1.5,0.2,2005-10-31 11:59:19,2014-05-14 15:56:42,2,1,,1,,1,,
56706748010538,60271920010538,2004,54,31,2183,270,4,2,2004,1,0.5,1.6,1.4,2005-10-31 11:59:19,2014-05-14 15:56:42,2,1,,1,,1,,
56707157010538,60274986010538,2004,54,39,649,30,1,2,2004,1,0.0,1.0,0.1,2005-10-31 11:59:19,2014-05-14 15:56:42,2,1,,1,,1,,
56707169010538,60274986010538,2004,54,39,649,30,2,2,2004,2,0.0,0.4,0.3,2005-10-31 11:59:19,2014-05-14 15:56:42,2,1,,1,,1,,
56707183010538,60274986010538,2004,54,39,649,30,3,2,2004,1,1.1,2.6,0.3,2005-10-31 11:59:19,2014-05-14 15:56:42,2,1,,1,,1,,
56707194010538,60274986010538,2004,54,39,649,30,4,2,2004,1,0.2,1.2,0.1,2005-10-31 11:59:19,2014-05-14 15:56:42,2,1,,1,,1,,
56707160010538,60274986010538,2004,54,39,649,150,1,2,2004,1,0.0,3.2,0.3,2005-10-31 11:59:19,2014-05-14 15:56:42,2,1,,1,,1,,
56707174010538,60274986010538,2004,54,39,649,150,2,2,2004,2,0.4,1.8,0.2,2005-10-31 11:59:19,2014-05-14 15:56:42,2,1,,1,,1,,
56707186010538,60274986010538,2004,54,39,649,150,3,2,2004,1,,,,2005-10-31 11:59:19,2014-05-14 15:56:42,2,0,,0,,0,,
